question_id,cluster
28086865,1
39663117,4
37259168,1
22412231,6
25090735,2
25279059,5
22719224,1
7549662,6
28233633,2
40091963,4
1366274,5
1751959,5
11596423,2
23042962,6
4638806,0
4585692,3
39397720,1
35880247,5
32969757,2
2323080,3
32535816,1
20383151,3
3610071,1
13596408,5
39970303,5
38164587,6
19094441,1
26077231,4
39066567,0
27462337,2
22865573,2
22739592,0
23785155,3
39231607,3
39518350,2
25571861,0
31614866,6
15745418,3
15900883,2
32023183,6
39549494,5
38895185,2
35792905,5
17717282,1
11040626,1
36747114,2
3695202,0
29552575,0
21058514,1
33769143,4
6239042,3
13144158,5
34278866,1
26080958,6
5834054,6
25705544,6
27542341,6
38316294,5
20110006,1
33127008,6
18596189,1
2483840,3
20803932,2
4848965,0
27056575,6
8701419,6
4690155,3
26673267,2
32463870,1
36908926,2
19472499,1
38780122,5
37015876,3
12030085,3
29859761,1
33753832,5
4676973,6
39111903,1
27177212,6
22108306,1
38792077,2
32589767,6
3402694,3
35942081,6
26753268,0
26487648,5
19338748,3
19111047,5
13980656,1
30849351,1
33655933,4
13163895,6
13356680,6
16991754,5
18380766,6
5522524,6
39521924,2
36795424,0
19665125,6
33792478,5
4054254,3
25109001,6
2631311,6
843277,6
38879470,1
32906669,5
23873048,4
31350589,5
37730751,6
11816236,5
11376381,0
36053881,6
13336798,1
20298058,3
3068408,4
21465348,4
37066402,2
34394344,2
36447378,5
5075335,5
36507334,2
25709818,6
35046142,6
38591938,1
37390827,5
32683412,1
34880137,6
27434689,1
34708972,3
7765113,2
37864425,4
6107905,5
39978375,1
4968210,6
25462305,1
35641116,1
36816386,1
34683400,1
36820171,2
26005274,1
38477881,5
10639333,4
25387745,6
40113343,6
29080279,6
26615756,6
6655724,1
38876562,5
33592626,5
29144956,6
23970227,3
5531249,6
35224978,0
6650906,1
24037441,6
12311196,3
1056675,2
24020720,1
14319771,2
5289680,2
19919987,4
22127346,6
22983523,4
10587826,3
29581718,0
21897420,2
24419845,3
28624489,2
1693945,1
17124199,1
21397455,1
16494824,2
21436163,6
18896682,3
17621531,6
36534795,6
34381588,1
31538738,5
36813851,1
17173743,4
17327389,6
39341571,1
18968660,4
12485148,5
32705146,1
9584565,1
39331369,2
16059073,6
31253866,5
24743446,5
2465675,2
4713589,5
19216046,6
13369009,0
37541248,2
36518512,2
29408529,6
23617898,5
40006924,0
39394936,6
34352419,1
22731782,1
19484161,2
18352815,6
4255854,2
4717238,1
