K,cluster,rank,distance_to_centroid,question_id,title,clean_text
9,0,1,1.3612357,2445823,"In Django, what is a one-to-one relationship?","in django, what is a one-to-one relationship? i've always been using foreignkeys."
9,0,2,1.4363993,14260601,How to select radio buttons and submit a form,"how to select radio buttons and submit a form this is the html: this is the code i have, and it is not working:"
9,0,3,1.4562128,2577252,what is the 'extra' mean in this django code,"what is the 'extra' mean in this django code i don't know this mean, thanks"
9,0,4,1.4645976,38892192,what is the best pratice of nested dict for mongoengine ODM?,what is the best pratice of nested dict for mongoengine odm? i have some data like this in my mongodb: how to i modeling it with mongoengine odm?
9,0,5,1.464766,5761208,Is this iteration necessary?,is this iteration necessary? hi my usage of get_serving_url is serverside now i wonder if this can be done in template instead of iterating serverside?
9,0,6,1.4712867,4170031,"How do you do a ""hidden"" field in Django's forms.Form models?","how do you do a ""hidden"" field in django's forms.form models? how do you make this hidden?"
9,0,7,1.5344201,27578027,Adding columns with django ORM,adding columns with django orm how would i do the following in the django orm: the equivalent of:
9,0,8,1.5420936,33437134,flask python update operation,flask python update operation i update collection in mongo db . but cant find matches. this is my code.
9,0,9,1.5577954,1727429,Implement OpenID in Python,implement openid in python how should i implement openid in python using the openid api?
9,0,10,1.5649977,39926533,Deleting a nested object,deleting a nested object how do i delete a specific translation given the following serializer structure:
9,1,1,1.2721153,30677288,Threading [Python/Threading],threading [python/threading] [edit] question has been completed.
9,1,2,1.3914562,113007,Writing to the windows logs in Python,writing to the windows logs in python is it possible to write to the windows logs in python?
9,1,3,1.4846795,92928,time.sleep -- sleeps thread or process?,"time.sleep -- sleeps thread or process? in python for the *nix, does block the thread or the process?"
9,1,4,1.571093,1111356,Is there anything like HTTP::Recorder for Python?,is there anything like http::recorder for python? i really like perl's http::recorder . is there something like it for python?
9,1,5,1.6374589,36098619,Quagga routers with ospf emulated in mininext: Ping failing randomly,quagga routers with ospf emulated in mininext: ping failing randomly i am using mininext to run emulate quagga routers which are running ospf. but the pingall command fails randomly. any ideas?
9,1,6,1.6515874,7427898,How to start external program from Python script in the foreground?,how to start external program from python script in the foreground? or both start notepad in the background. how to start it in the foreground?
9,1,7,1.6558448,1423345,Can I run a Python script as a service?,can i run a python script as a service? is it possible to run a python script as a background service on a webserver? i want to do this for socket communication.
9,1,8,1.6575694,1189253,How do I resolve an SRV record in Python?,how do i resolve an srv record in python? something which doesn't rely on native libraries would be better.
9,1,9,1.6880981,3077557,Python: Run WSGI server from inetd?,"python: run wsgi server from inetd? as the title suggests, is it possible to run a wsgi server from (x)inetd?"
