K,cluster,rank,distance_to_centroid,question_id,title,clean_text
5,0,1,1.720456,2445823,"In Django, what is a one-to-one relationship?","in django, what is a one-to-one relationship? i've always been using foreignkeys."
5,0,2,1.8079818,1727429,Implement OpenID in Python,implement openid in python how should i implement openid in python using the openid api?
5,0,3,1.9267042,9125997,How to call subclass methods in a superclass in Python,how to call subclass methods in a superclass in python i want to know how to call subclass methods in the superclass.
5,0,4,1.9794201,15147189,Class attr and methods,"class attr and methods with class attributes and methods, to reference them within the class, should we use classname. or self."
5,0,5,2.0794609,37976477,How to use RoboBrowser to click a button,"how to use robobrowser to click a button how can i click a button with robobrowser? this is the html code: esporta selezionare i valori e premere ""filtra"""
5,0,6,2.0863814,3175925,best python lib to make the textarea safe in the web page when user submit,best python lib to make the textarea safe in the web page when user submit i want to clean some tag like :
5,0,7,2.09036,39660927,What method is equivalent to_internal_value in DRF 2?,what method is equivalent to_internal_value in drf 2? i can not find this in the documentation. i remember that i used such a method in drf 2 but can not recall the name.
5,0,8,2.0949306,1640054,Multiple CouchDB Document fetch with couchdb-python,"multiple couchdb document fetch with couchdb-python how to fetch multiple documents from couchdb, in particular with couchdb-python?"
5,0,9,2.0976787,6000205,How to get an app name using python in django,"how to get an app name using python in django if you are in the view and want to retrieve the app name using python ( the app name will be used for further logic ), how would you do it ?"
5,0,10,2.1038039,18232150,All expressions from one page,"all expressions from one page i have this code to retrieve information from a page: def between_strings(source, start='"
5,1,1,1.4443234,35510666,"Python/Selenium click on <div class=""foo'>",python/selenium click on is it possible?
5,1,2,1.465144,697594,How to integrate BIRT with Python,how to integrate birt with python has anyone ever tried that?
5,1,3,1.550623,38008453,Flask not interacting with Ajax,flask not interacting with ajax this script
5,1,4,1.6126232,113007,Writing to the windows logs in Python,writing to the windows logs in python is it possible to write to the windows logs in python?
5,1,5,1.7297605,11475885,python .replace() regex,"python .replace() regex i am trying to do a grab everything after the """
5,1,6,1.7309644,30677288,Threading [Python/Threading],threading [python/threading] [edit] question has been completed.
5,1,7,1.7652273,1554362,reading midi input,reading midi input is there a module to read midi input (live) with python?
5,1,8,1.7943234,15941956,Python installation on aix,python installation on aix is it possible to install python on aix server. i have installed it on linux and windows but not able to find the correct installables for aix
5,1,9,1.7952833,295670,What is a partial class?,what is a partial class? what is and how can it be used in c#. can you use the same concept in python/perl?
5,1,10,1.8329822,1111356,Is there anything like HTTP::Recorder for Python?,is there anything like http::recorder for python? i really like perl's http::recorder. is there something like it for python?
5,2,1,2.1322374,1983332,"i can't found '_weakref.py',where is '_weakref.py'","i can't found '_weakref.py',where is '_weakref.py' from _weakref import ( getweakrefcount, getweakrefs, ref, proxy, callableproxytype, proxytype, referencetype)"
5,2,2,2.159676,12393044,IronPython in VisualStudio 2012,ironpython in visualstudio 2012 is there support ironpython in visualstudio 2012? i not found ironpython project in templates.
5,2,3,2.214365,20254401,"Ubuntu installed fos but when import it, no shader","ubuntu installed fos but when import it, no shader i installed fos using github version, however when i tried to import fos, i got error said that no module named shader.lib, do i need to install a different version of it?"
5,2,4,2.229654,39303157,How to install flaskext.mysql with yum/centos?,"how to install flaskext.mysql with yum/centos? while running a program, i get the error importerror: no module named flaskext.mysql. how can i fix this with yum?"
5,2,5,2.2330327,122327,How do I find the location of my Python site-packages directory?,how do i find the location of my python site-packages directory? how do i find the location of my site-packages directory?
5,2,6,2.268413,31330324,PAM authentication not working in python,"pam authentication not working in python URL this code is not working. for the users present in the system too, it gives error as ""go away! (('authentication failure', 7)) any idea?"
5,2,7,2.3601418,3730616,Error Importing Graphics Python,"error importing graphics python i'm typing at the console from graphics import * and i get this error traceback (most recent call last): file """", line 1, in from graphics import * importerror: no module named graphics"
5,2,8,2.3633885,3498263,Python: openssl segmentation fault,python: openssl segmentation fault i followed the instrunction on this site URL to install openssl. when i go to test i get this as the output: test_rude_shutdown ... test_basic ... segmentation fault how would i resolve this?
5,2,9,2.3817854,15511400,Why does -103/100 == -2 but 103/100 == 1 in Python?,why does -103/100 == -2 but 103/100 == 1 in python? why does -103/100 == -2 but 103/100 == 1 in python? i can't seem to understand why.
5,2,10,2.41082,27599654,"what is the meaning of this python code: <L in struct.pack(""<L"",self.src)","what is the meaning of this python code: my problem is to understand the meaning of: in this python code: self.src_address = socket.inet_ntoa(struct.pack("""
5,3,1,2.0547338,19738465,"Python satellite tracking with Orbitron, pyephem- positions not matching","python satellite tracking with orbitron, pyephem- positions not matching in reading tle and calculating the orbit of satellites, does pyephem regard the earth as the sphere or as the ellipse ?"
5,3,2,2.0926383,22507707,Finding largest eigenvalue in sparse matrix,finding largest eigenvalue in sparse matrix i'm using numpy and scipy. i have a large sparse matrix and i want to find the largest eigenvalue of the sparse matrix. how can i do that?
5,3,3,2.1017032,33525279,Pyqtgraph: How do I plot an ellipse or a circle,pyqtgraph: how do i plot an ellipse or a circle i would like plot circles or ellipses in pyqtgraph gl.glviewwidget(). however i did not find a function to do that. anyone know the way to do that?
5,3,4,2.175083,15341762,How to determine size (in bytes) of a PyTables array?,how to determine size (in bytes) of a pytables array? how can i determine the size (in bytes) of a pytables array?
5,3,5,2.1751766,1602122,Casting vs. coercion in Python,"casting vs. coercion in python in the python documentation and on mailing lists i see that values are sometimes ""cast"", and sometimes ""coerced"". what is the difference?"
