K,cluster,rank,distance_to_centroid,question_id,title,clean_text
9,0,1,1.6026932,4413912,Why is print not a function in python?,why is print not a function in python? why is print a keyword in python and not a function?
9,0,2,1.9404773,36139,How do I sort a list of strings in Python?,how do i sort a list of strings in python? what is the best way of creating an alphabetically sorted list in python?
9,0,3,2.0016754,1959744,Python list problem,"python list problem python: m=[[0]*3]*2 for i in range(3): m[0][i]=1 print m i expect that this code should print [[1, 1, 1], [0, 0, 0]] but it prints [[1, 1, 1], [1, 1, 1]]"
9,0,4,2.005553,9125997,How to call subclass methods in a superclass in Python,how to call subclass methods in a superclass in python i want to know how to call subclass methods in the superclass.
9,0,5,2.029259,15606138,Remove punctuation from a list of list of strings in python,"remove punctuation from a list of list of strings in python lets say i have a [[""hello, world!""],[""hello!!, world!!""]] i want it to produce [[""hello"",""world""],[""hello"",""world""]]"
9,0,6,2.051648,4232433,"How to create a List given a variable ""x"" in Python?","how to create a list given a variable ""x"" in python? python: i have a variable say x. i need to create a list of name ""x"""
9,0,7,2.0555406,31644677,how to take input in python when no of input are not defined,"how to take input in python when no of input are not defined this is an c++ code , how can i implement this in python ? while(scanf(""%lld"",&n)!=eof) { cout<"
9,0,8,2.074402,9289427,About slices in Python,about slices in python is there any difference between mylist[:] and mylist[::]? what's the rationale for mylist[::0] to raise an error since negative steps are allowed?
9,0,9,2.080044,7816363,if A vs if A is not None:,if a vs if a is not none: can i use: if a: instead of if a is not none: the latter seems so verbose. is there a difference?
9,0,10,2.0943282,39644202,Assigning empty list,"assigning empty list i don't really know how i stumbled upon this, and i don't know what to think about it, but apparently [] = [] is a legal operation in python, so is [] = '', but '' = [] is not allowed. it doesn't seem to have any effect though, but i'm wondering: what the hell ?"
9,1,1,1.4714009,697594,How to integrate BIRT with Python,how to integrate birt with python has anyone ever tried that?
9,1,2,1.496163,35510666,"Python/Selenium click on <div class=""foo'>",python/selenium click on is it possible?
9,1,3,1.6684024,15941956,Python installation on aix,python installation on aix is it possible to install python on aix server. i have installed it on linux and windows but not able to find the correct installables for aix
9,1,4,1.68439,113007,Writing to the windows logs in Python,writing to the windows logs in python is it possible to write to the windows logs in python?
9,1,5,1.8207384,1189253,How do I resolve an SRV record in Python?,how do i resolve an srv record in python? something which doesn't rely on native libraries would be better.
9,1,6,1.8332763,295670,What is a partial class?,what is a partial class? what is and how can it be used in c#. can you use the same concept in python/perl?
