K,cluster,rank,distance_to_centroid,question_id,title,clean_text
7,0,1,4.7868967,19738465,"Python satellite tracking with Orbitron, pyephem- positions not matching","python satellite tracking with orbitron, pyephem- positions not matching in reading tle and calculating the orbit of satellites, does pyephem regard the earth as the sphere or as the ellipse ?"
7,0,2,4.9638524,37532410,How to visualize a SVM using Matplotlib in python?,how to visualize a svm using matplotlib in python? is there any way to visualize svm model in opencv using matplotlib in python like this one .
7,0,3,5.005799,33525279,Pyqtgraph: How do I plot an ellipse or a circle,pyqtgraph: how do i plot an ellipse or a circle i would like plot circles or ellipses in pyqtgraph gl.glviewwidget(). however i did not find a function to do that. anyone know the way to do that?
7,0,4,5.275096,6019473,Save matplotlib plot in grayscale,save matplotlib plot in grayscale i have some color plots that i need to be saved in grayscale. is there an easy way to do this without changing the plotting formats?
7,0,5,5.317003,18902102,What is the equivalent of matlab's smooth3 function in python?,what is the equivalent of matlab's smooth3 function in python? i couldn't find an equivalent of matlab's smooth3 in python. how do you perform 3d smoothing in python?
7,0,6,5.4126477,22411463,How to use the autocomplete feature with QScintilla?,"how to use the autocomplete feature with qscintilla? i've found this demo autocompletion-using-pyqt4-and-qscintilla however, it would cause segment fault sometimes. is this demo correct?"
7,0,7,5.513689,25045483,How to customize QListWidget backgound color (and not QListWidgetItem),how to customize qlistwidget backgound color (and not qlistwidgetitem) i wonder if there is a way to customize qlistwidget background color. i have tried: while there were no errors it still doesn't work.
7,0,8,5.5184255,37576006,Getting rid of jagged edges in a matplotlib surface plot,getting rid of jagged edges in a matplotlib surface plot this script produces the following plot: how do i get rid of those jagged edges and make this shape a nice square?
7,0,9,5.527958,23577505,How to avoid overlapping of labels & autopct in a matplotlib pie chart?,"how to avoid overlapping of labels & autopct in a matplotlib pie chart? my python code is: is it possible to show the labels ""jan"", ""feb"", ""mar"", etc. and the percentages, either: without overlapping, or using an ?"
7,0,10,5.5363226,23637219,Center-align tick labels of matplotlib heatmap,"center-align tick labels of matplotlib heatmap i have plotted a heat map with imshow, but i can't get the x tick labels to be center aligned even though i made . here is my code: can someone help me find the error?"
7,1,1,2.8979034,27212153,Python Sorting a List of Namedtuples,python sorting a list of namedtuples i'm trying to sort this by and i have no clue where to start.
7,1,2,3.4326015,1640054,Multiple CouchDB Document fetch with couchdb-python,"multiple couchdb document fetch with couchdb-python how to fetch multiple documents from couchdb, in particular with couchdb-python?"
7,1,3,3.4412737,21704646,IndexError in numpy array,"indexerror in numpy array i have a code which looks like this however, it gives me the following error thank you, in advance."
7,1,4,3.918999,2824612,Handle iterable and non-iterable seamlessly,handle iterable and non-iterable seamlessly could you let me know how i can optimize the following code?
7,1,5,3.9421225,3823599,Regular Expressions,regular expressions how would i extract the word 'wrestle' from the following: using a regular expression? thanks
7,1,6,3.946543,13887537,Python TypeError unsupported operand type,"python typeerror unsupported operand type in python, , where is an integer and is of integers. i get this, ?? not sure, why ??"
7,1,7,4.020517,22507707,Finding largest eigenvalue in sparse matrix,finding largest eigenvalue in sparse matrix i'm using numpy and scipy. i have a large sparse matrix and i want to find the largest eigenvalue of the sparse matrix. how can i do that?
7,1,8,4.0491796,13169535,Another Nesting List comprehension?,"another nesting list comprehension? in python, suppose i want to turn this list: into: thanks"
