question_id,cluster
28086865,0
39663117,5
37259168,0
22412231,2
25090735,3
25279059,1
22719224,3
7549662,2
28233633,0
40091963,5
1366274,1
1751959,1
11596423,3
23042962,2
4638806,5
4585692,4
39397720,0
35880247,1
32969757,3
2323080,4
32535816,0
20383151,4
3610071,0
13596408,1
39970303,1
38164587,2
19094441,5
26077231,2
39066567,5
27462337,3
22865573,3
22739592,5
23785155,4
39231607,4
39518350,3
25571861,4
31614866,2
15745418,2
15900883,3
32023183,2
39549494,1
38895185,3
35792905,1
17717282,0
11040626,0
36747114,3
3695202,5
29552575,2
21058514,0
33769143,2
6239042,4
13144158,1
34278866,0
26080958,2
5834054,2
25705544,2
27542341,2
38316294,1
20110006,0
33127008,2
18596189,0
2483840,4
20803932,3
4848965,0
27056575,2
8701419,2
4690155,4
26673267,3
32463870,0
36908926,3
19472499,0
38780122,1
37015876,4
12030085,4
29859761,0
33753832,1
4676973,2
39111903,5
27177212,1
22108306,0
38792077,3
32589767,2
3402694,4
35942081,4
26753268,5
26487648,1
19338748,4
19111047,1
13980656,2
30849351,0
33655933,3
13163895,2
13356680,2
16991754,1
18380766,2
5522524,2
39521924,3
36795424,5
19665125,2
33792478,1
4054254,4
25109001,2
2631311,1
843277,2
38879470,0
32906669,1
23873048,2
31350589,1
37730751,2
11816236,1
11376381,5
36053881,2
13336798,0
20298058,4
3068408,3
21465348,5
37066402,3
34394344,3
36447378,1
5075335,1
36507334,3
25709818,5
35046142,2
38591938,2
37390827,1
32683412,0
34880137,0
27434689,0
34708972,4
7765113,3
37864425,2
6107905,1
39978375,0
4968210,2
25462305,0
35641116,0
36816386,0
34683400,0
36820171,3
26005274,0
38477881,1
10639333,2
25387745,0
40113343,2
29080279,2
26615756,2
6655724,0
38876562,1
33592626,1
29144956,2
23970227,4
5531249,2
35224978,0
6650906,0
24037441,1
12311196,4
1056675,3
24020720,0
14319771,3
5289680,3
19919987,2
22127346,2
22983523,5
10587826,4
29581718,5
21897420,3
24419845,4
28624489,3
1693945,0
17124199,0
21397455,0
16494824,3
21436163,2
18896682,3
17621531,2
36534795,2
34381588,0
31538738,1
36813851,5
17173743,5
17327389,2
39341571,0
18968660,5
12485148,1
32705146,0
9584565,2
39331369,3
16059073,2
31253866,1
24743446,1
2465675,3
4713589,1
19216046,0
13369009,5
37541248,3
36518512,3
29408529,2
23617898,1
40006924,5
39394936,2
34352419,0
22731782,0
19484161,3
18352815,2
4255854,3
4717238,0
38704586,1
33572928,2
35846053,2
38343972,5
39396222,3
3842927,2
15966537,5
23154821,2
23580176,1
3489451,2
34052977,0
8358781,4
5566160,0
9952655,2
5258402,1
35822563,3
11601629,0
7184454,1
23779995,3
18767257,1
10292057,1
9193773,1
15194061,0
33452601,2
13664861,0
29922373,0
28410763,2
35006204,5
11017984,5
10459673,0
36854690,3
20129259,1
21434728,5
18667053,2
39448604,2
9852226,2
34452680,3
18821795,2
10903748,0
25375057,2
32723802,5
16044668,3
26770121,1
15661231,2
21403044,3
18946286,1
35625488,1
36301179,4
23963369,5
21047921,2
28677597,0
16597396,4
19430190,0
28085788,5
16664360,3
8973238,0
38343213,3
16329869,2
14621310,2
27524817,4
29029077,2
8573464,1
28930706,4
18486244,2
28384690,4
3905548,1
18689026,0
36689898,3
5513615,0
14902299,2
38579256,2
6871686,2
10424987,2
33492593,0
27440989,1
2193009,0
31419145,1
30025502,2
15265319,3
38289432,2
36697521,0
38038700,0
35440222,4
31400143,5
9014056,2
27118886,1
40027392,2
32078763,5
25064271,3
19833315,2
17202946,0
1258199,2
21705101,2
29832659,5
16816379,0
20202639,4
822195,0
37467812,5
39847007,2
11268039,2
29621334,0
17459700,2
3165213,2
31473998,4
22301531,0
22787091,5
25903242,0
30699806,5
34071495,5
39128412,0
37749111,3
14734492,2
13167852,2
39721813,3
30444863,3
28228720,5
30016119,5
20109487,0
35461213,0
17528842,0
34133667,5
13446989,1
16435697,2
12612229,2
17412087,1
35505498,1
34422238,0
27810898,4
17229045,4
22254151,0
25319851,5
20966102,2
38117824,2
17384485,1
8320106,2
39151443,5
992136,4
26984555,2
24422724,4
19693782,2
12139428,3
24286544,2
14863576,0
26214245,2
25379098,0
9526873,4
7385374,4
928806,0
3861148,0
39533524,4
31946790,0
32689758,5
22946117,0
15555589,2
3134850,3
10831075,2
20629113,5
28917968,3
28999332,0
21739518,1
18241359,2
13010551,2
11651188,5
9100431,1
34657480,4
15898829,3
13729394,3
6603448,5
4293408,2
28862412,2
35590796,2
21735827,2
23111625,2
13093806,2
33426634,1
30032701,0
15622082,1
17819311,5
7381998,0
36169342,2
22120887,2
11850762,3
25726289,1
13792798,5
31657423,2
19655688,1
23409982,0
23704826,2
8535913,2
24540431,5
23021976,0
7199405,4
36447597,0
22386064,5
32660596,1
34662357,5
37166891,3
22411463,0
8953035,0
1905396,2
27208757,0
9645924,1
39509080,2
11366294,3
36385992,1
7969552,0
29418117,1
9486345,1
10773372,4
13936169,2
33680750,2
29471617,5
33971496,3
35585362,3
32177449,2
11388632,3
1111173,0
30036443,2
17320133,2
12853628,1
23159019,2
1956249,3
35722096,2
18799033,1
6438260,1
19782309,0
13018266,3
34336273,0
12851374,4
15821830,3
17060930,2
28267756,2
38778676,1
32358269,0
21886526,2
14413661,2
4113014,2
26897759,2
38618888,5
3442920,4
23800972,2
31063601,1
28705834,5
