question_id,cluster
28086865,7
39663117,3
37259168,2
22412231,4
25090735,0
25279059,6
22719224,0
7549662,7
28233633,0
40091963,2
1366274,6
1751959,6
11596423,0
23042962,5
4638806,3
4585692,1
39397720,6
35880247,6
32969757,0
2323080,4
32535816,5
20383151,1
3610071,8
13596408,6
39970303,8
38164587,6
19094441,3
26077231,4
39066567,3
27462337,3
22865573,8
22739592,5
23785155,1
39231607,1
39518350,6
25571861,5
31614866,7
15745418,4
15900883,0
32023183,5
39549494,6
38895185,0
35792905,6
17717282,8
11040626,2
36747114,8
3695202,3
29552575,3
21058514,5
33769143,2
6239042,1
13144158,6
34278866,2
26080958,6
5834054,4
25705544,7
27542341,7
38316294,4
20110006,3
33127008,7
18596189,8
2483840,1
20803932,8
4848965,3
27056575,7
8701419,5
4690155,1
26673267,0
32463870,8
36908926,7
19472499,0
38780122,6
37015876,1
12030085,1
29859761,8
33753832,1
4676973,5
39111903,3
27177212,4
22108306,7
38792077,0
32589767,5
3402694,1
35942081,1
26753268,3
26487648,6
19338748,1
19111047,6
13980656,7
30849351,7
33655933,0
13163895,4
13356680,2
16991754,4
18380766,7
5522524,6
39521924,0
36795424,3
19665125,4
33792478,6
4054254,1
25109001,3
2631311,3
843277,8
38879470,7
32906669,6
23873048,7
31350589,5
37730751,8
11816236,1
11376381,3
36053881,4
13336798,8
20298058,4
3068408,0
21465348,2
37066402,0
34394344,1
36447378,6
5075335,1
36507334,4
25709818,3
35046142,7
38591938,2
37390827,6
32683412,3
34880137,7
27434689,8
34708972,4
7765113,0
37864425,2
6107905,6
39978375,8
4968210,0
25462305,2
35641116,8
36816386,4
34683400,7
36820171,1
26005274,7
38477881,8
10639333,2
25387745,5
40113343,7
29080279,5
26615756,4
6655724,8
38876562,6
33592626,6
29144956,4
23970227,1
5531249,2
35224978,5
6650906,8
24037441,8
12311196,1
1056675,6
24020720,7
14319771,4
5289680,0
19919987,4
22127346,0
22983523,3
10587826,0
29581718,3
21897420,6
24419845,1
28624489,0
1693945,7
17124199,4
21397455,8
16494824,0
21436163,4
18896682,1
17621531,5
36534795,5
34381588,7
31538738,0
36813851,8
17173743,2
17327389,3
39341571,5
18968660,3
12485148,8
32705146,5
9584565,2
39331369,0
16059073,4
31253866,6
24743446,6
2465675,0
4713589,6
19216046,7
13369009,3
37541248,6
36518512,0
29408529,4
23617898,6
40006924,5
39394936,4
34352419,7
22731782,7
19484161,0
18352815,4
4255854,4
4717238,1
38704586,6
33572928,4
35846053,7
38343972,3
39396222,0
3842927,3
15966537,3
23154821,7
23580176,6
3489451,3
34052977,7
8358781,1
5566160,6
9952655,4
5258402,1
35822563,0
11601629,7
7184454,4
23779995,0
18767257,6
10292057,6
9193773,6
15194061,2
33452601,7
13664861,7
29922373,8
28410763,4
35006204,2
11017984,3
10459673,7
36854690,4
20129259,1
21434728,3
18667053,8
39448604,4
9852226,8
34452680,0
18821795,6
10903748,2
25375057,1
32723802,3
16044668,0
26770121,6
15661231,7
21403044,3
18946286,6
35625488,6
36301179,1
23963369,3
21047921,7
28677597,5
16597396,4
19430190,7
28085788,3
16664360,0
8973238,8
38343213,0
16329869,3
14621310,8
27524817,4
29029077,4
8573464,4
28930706,0
18486244,7
28384690,1
3905548,6
18689026,7
36689898,0
5513615,2
14902299,4
38579256,7
6871686,3
10424987,7
33492593,3
27440989,8
2193009,0
31419145,6
30025502,7
15265319,0
38289432,0
36697521,2
38038700,7
35440222,1
31400143,2
9014056,7
27118886,6
40027392,5
32078763,2
25064271,0
19833315,5
17202946,5
1258199,2
21705101,8
29832659,3
16816379,7
20202639,1
822195,5
37467812,3
39847007,4
11268039,4
29621334,3
17459700,4
3165213,7
31473998,1
22301531,7
22787091,3
25903242,7
30699806,3
34071495,5
39128412,8
37749111,0
14734492,4
13167852,2
39721813,0
30444863,0
28228720,2
30016119,3
20109487,5
35461213,2
17528842,7
34133667,3
13446989,6
16435697,2
12612229,2
17412087,6
35505498,6
34422238,7
27810898,0
17229045,4
22254151,2
25319851,3
20966102,4
38117824,7
17384485,6
8320106,2
39151443,3
992136,1
26984555,0
24422724,1
19693782,5
12139428,0
24286544,4
14863576,7
26214245,8
25379098,8
9526873,4
7385374,1
928806,8
3861148,5
39533524,5
31946790,8
32689758,3
22946117,0
15555589,0
3134850,0
10831075,1
20629113,3
28917968,4
28999332,6
21739518,8
18241359,4
13010551,7
11651188,2
9100431,4
34657480,1
15898829,0
13729394,4
6603448,2
4293408,7
28862412,2
35590796,4
21735827,4
23111625,4
13093806,8
33426634,4
30032701,0
15622082,6
17819311,3
7381998,5
36169342,4
22120887,2
11850762,0
25726289,3
13792798,3
31657423,5
19655688,8
23409982,2
23704826,3
8535913,2
24540431,3
23021976,7
7199405,4
36447597,7
22386064,3
32660596,5
34662357,2
37166891,0
22411463,6
8953035,7
1905396,0
27208757,5
9645924,6
39509080,3
11366294,0
36385992,1
7969552,7
29418117,6
9486345,8
10773372,1
13936169,4
33680750,2
29471617,3
33971496,0
35585362,5
32177449,4
11388632,1
1111173,0
30036443,7
17320133,2
12853628,4
23159019,8
1956249,0
35722096,4
18799033,1
6438260,6
19782309,7
13018266,0
34336273,7
12851374,1
15821830,2
17060930,4
28267756,7
38778676,6
32358269,4
21886526,4
14413661,5
4113014,4
26897759,8
38618888,2
3442920,1
23800972,4
31063601,8
28705834,3
27607638,7
6931039,7
35761561,7
28288395,6
32874900,7
38071436,3
27219759,8
21158731,5
26361113,0
27034416,4
22253695,0
11622692,3
16837642,4
3894923,2
17438943,4
37732552,6
23809636,0
39143465,1
10866990,0
17197406,4
2470121,8
34005479,3
32079691,7
28477877,8
10497342,0
22534552,6
14922533,5
35593961,1
32141623,5
35583510,5
12170262,2
28022998,7
25775965,5
22891586,5
7973002,6
11798323,1
35330733,5
14429724,2
18598238,3
14195544,0
17005775,5
33325603,8
16787725,2
38960196,7
39829846,7
26278348,6
6203653,1
37865763,2
36491375,7
23833324,1
30585679,3
34462682,8
18456841,0
7070693,6
16387597,7
23295868,0
21045437,1
32334346,7
12810499,3
24109713,4
23891486,4
36362175,2
29701951,6
5315873,7
40140412,4
22436864,5
14236633,4
38881888,8
38807067,6
22848533,6
23711762,0
5164307,0
3898572,8
4360636,1
31402734,3
23872285,7
1431936,6
39407747,6
27883769,8
4888440,4
37022787,3
24624809,6
19610240,0
19617959,6
34714863,0
818942,5
29244434,0
33333980,8
1229414,4
23506306,5
22603750,6
38723055,1
39836449,2
34411047,6
33979709,7
34525893,8
12328678,6
31111493,6
38367206,4
22665833,4
8779497,4
28722677,2
38384829,6
13824973,2
9770133,1
29566846,5
14579231,5
33658216,4
22561495,2
5918633,6
34383951,1
27575354,8
11228153,0
3407414,7
16813088,7
2038247,8
33713149,2
5445462,5
31872863,8
3486372,1
17492923,2
24058127,4
22787826,4
24404729,5
7768633,4
8930370,3
34584484,7
17370820,7
28658918,3
25285665,0
14588682,1
23205147,7
11897028,6
28078327,3
26698401,5
33720318,6
553019,2
40121221,1
31960214,5
24981505,2
24607358,1
37302934,0
23839662,7
29901471,2
24834926,8
24087593,7
36258215,7
28119877,8
3730616,6
32991977,5
2828962,1
32040304,3
26805232,0
24056286,7
21039589,8
15807611,5
9870182,4
21922382,7
16500443,4
22156574,4
7829007,4
33751388,2
7629288,1
22133696,0
32121236,2
2828059,2
2041978,1
22251169,0
15258017,1
26187054,2
14258702,4
31949339,4
38679516,2
27194710,3
29847082,2
27959962,6
25914854,1
19261392,3
25490432,5
21640880,1
25455067,4
27790357,3
8449454,7
19169352,6
29743523,3
33657182,7
4295799,1
39084519,3
25720742,1
35540265,0
15947517,5
10475448,5
22878113,3
16022579,0
35984404,4
26876438,8
10018679,7
34257693,6
31795092,7
9445835,2
19527097,1
14658945,3
762764,0
24591917,7
38237598,3
1842389,0
23618728,6
29545601,5
31307014,2
38447314,2
14621224,2
2415842,0
20502312,5
21113773,4
31487381,7
16700779,7
14533936,4
32485542,6
32813162,5
30834395,0
33405490,0
28882496,0
7556499,3
32740320,6
11481618,7
24376574,3
38219558,7
28520450,1
36131003,4
8299270,8
23234436,8
37830512,3
5403138,4
37662869,1
3586295,4
35258750,2
33713501,1
24057239,6
18478240,3
35696980,0
16022245,7
2524998,8
35332978,5
16981303,2
34662173,3
37471079,4
6162823,7
36163949,4
15378537,2
38708729,6
16110968,0
27772934,0
21784116,6
11824137,0
22899536,5
34322896,5
20444155,2
15541418,3
39776675,4
37019240,3
12559778,6
12658224,4
30380551,8
39214277,8
29973598,1
26642433,7
36152287,7
4098197,4
36894878,1
11059203,5
39792641,4
1364583,3
6912867,4
12289861,0
2743070,4
19715854,3
26352833,4
15638468,3
18117748,7
18324753,0
26762053,0
18915481,3
21285022,1
1720743,6
37579590,3
6322158,6
36091759,8
36764709,8
8590813,4
8904271,7
13209539,8
32877873,7
1325568,1
35287254,8
34957004,2
34064104,2
38808452,4
14006028,0
26683509,7
34755256,1
20136274,6
13111025,2
18838328,4
27284196,6
27990497,3
18581174,1
33929929,5
37289559,6
18883222,3
19441031,8
30293680,8
29300175,6
550804,4
19228711,4
38361224,2
4476354,4
19961071,5
39408038,2
25663653,6
23378498,0
33442872,0
5772148,7
29641616,5
17039151,7
32239077,5
17088224,0
10011302,3
34576409,8
8934530,8
5234944,4
19545979,7
15881439,1
30746167,2
25429219,4
27827503,4
16820635,8
8674426,2
20602488,5
35825289,0
36034926,6
28594000,6
31577926,0
33303952,6
21366021,5
25028105,4
27973941,4
30492313,3
6335906,4
14779216,1
10599347,4
19915264,1
20341650,1
22244837,5
36612981,8
29997186,7
4782028,7
36068943,4
34856717,2
7389109,3
29591313,2
10860774,8
25543741,8
35997393,2
35871625,2
32731554,5
32821143,7
16705670,4
28128514,6
17887503,8
35692719,4
21282039,6
38528332,0
36725130,3
35998123,4
4065085,8
14355642,3
33067867,3
26741204,2
8158536,6
39580929,4
26711396,3
26936345,2
26295092,6
14924795,1
23355661,4
17398040,6
35423366,3
8764895,1
20600527,5
14609467,4
34574351,2
21309172,6
21713148,6
28522671,7
13440956,5
34216141,7
29363697,1
31806428,6
35407893,0
21370722,8
36923265,1
37242036,8
35628640,2
11387439,8
11580789,4
9937781,7
36425234,2
23103370,3
13703295,8
29796140,4
13711187,8
31468597,7
26949091,7
18064914,5
32033557,3
38877102,3
17220997,0
37661073,2
11280464,1
34315152,6
11298909,3
29489717,6
14898089,4
26321618,2
39029632,3
22557758,8
6165819,5
5891359,1
30264461,6
23420021,6
5812318,7
902039,0
14532634,3
21392956,7
21699022,5
20262687,2
14184623,8
10110295,7
39366291,7
18245975,3
22876655,7
25856475,8
21175922,5
8063012,0
36738309,8
31388828,1
39626338,6
30405420,2
30067180,1
9914393,6
15442717,0
1181233,1
29775539,2
6649990,4
29794853,7
14850960,7
33665542,5
26527493,0
28759361,8
36386761,6
144218,3
33335937,1
12894154,0
18131839,3
2591580,4
35356198,3
26106833,8
22331396,4
29590189,8
38906797,4
23935029,6
26822873,6
31348238,0
1554673,1
17252024,3
32325075,6
10368153,4
37432161,2
30636248,7
21153407,1
39355483,4
22135108,7
22179718,4
1672113,4
32705280,0
23210644,3
14199168,2
29972991,8
31878409,1
26166248,4
19604825,7
19544545,7
26441236,8
21528899,7
18692818,5
25407738,4
31644677,8
27651993,0
12182744,8
33914593,6
30754926,2
18428457,8
36210157,7
34706485,2
36163147,0
28951256,0
18472826,1
10818445,7
13143218,1
26887558,1
20456759,1
30354380,4
33314704,7
4106332,1
39450903,3
37659066,4
18615022,0
36014646,4
19376994,1
27000754,4
37454726,0
13754880,7
34005062,0
39976348,2
9515559,4
26188763,5
39050676,7
19132927,3
23531110,1
24785657,0
18502197,7
32868911,0
22263679,5
5415199,0
19414060,8
2680619,3
22816409,7
27981595,0
31436023,3
31605888,4
38903443,8
26440574,8
13179917,4
27715429,1
31911465,0
36789493,4
21367320,6
26002936,1
28082017,1
29467807,1
7680343,1
12945387,5
30270899,1
27999685,1
22488693,0
35685146,7
30331943,5
37232804,6
19012948,4
22716035,0
11959434,1
37644773,1
31655788,5
18166360,7
4698755,3
38164191,7
28599012,2
31693683,6
11462235,2
28634422,5
19791208,4
36967011,2
13703724,0
14633290,0
23055860,1
21848033,6
30202445,6
37058194,0
29836948,4
12868559,5
23199042,7
33804118,5
14398868,3
37530500,0
28975467,0
18312886,6
35228991,2
14828945,3
4163740,5
33597066,2
37310695,6
21649113,6
29597831,7
34818228,2
36289259,5
35922675,6
32855029,7
19670697,4
8979031,5
1151207,6
38358521,6
24062013,5
21310797,1
40063530,4
7074051,7
31353423,4
30998543,6
36607953,5
33984132,0
5972506,3
11636162,5
35135979,4
16575250,7
21189294,7
27851087,3
31501806,8
26941785,4
19295832,2
4922623,0
22752467,1
26328818,6
17858553,0
38876429,3
29070176,0
23343709,7
26224484,1
9270931,7
33335291,7
32894378,2
27885855,1
22869719,2
22522330,4
28614911,1
34936193,7
34447789,2
32422279,3
34897280,0
32838397,8
10455538,8
32170913,4
23759873,8
7274521,7
7881110,2
27789298,6
30289289,8
21542301,7
5903501,4
25469869,6
22699808,8
3651339,6
32427207,5
36504073,3
28178477,0
37550934,2
36066054,7
4513937,6
37493102,0
23716734,4
29965571,6
16883360,8
23006023,6
25839183,6
28646271,4
24509307,6
9375878,3
20098319,0
34525277,0
31231115,3
39346549,4
4131546,4
28521142,6
27434153,1
20391489,1
35550913,8
25492346,7
20441762,0
31449291,3
26923433,0
27000546,7
32376579,6
27289344,0
29704164,7
21607965,7
39297328,0
34687818,8
20462833,7
39843230,8
16500798,4
12065019,7
35179953,3
32231896,3
4785918,4
32975638,4
29222034,6
23311483,0
19121894,4
34601505,2
12880324,8
35353771,8
18157259,8
26921854,7
6854662,6
37913101,0
40038519,6
16121686,5
37111118,0
27195594,6
37521814,1
6895205,1
27414913,3
6849582,4
37685459,6
5046845,8
31268914,7
21512572,4
21721545,0
17571349,7
22676327,1
22488553,3
1490429,1
27391292,5
19646627,2
16678500,6
35944841,3
23140799,0
31088263,2
29785941,4
28399233,4
26246233,1
9174234,7
6466628,0
30703988,1
27237072,8
23160476,5
23522539,1
34180827,7
27915151,7
39314024,1
38988705,6
900420,7
27587108,6
38685620,6
37560990,8
27957831,1
36892829,1
6713463,8
5180521,3
35374933,6
23288447,8
4226824,2
3247183,2
32905668,6
9312082,2
20018092,1
35141092,1
39370510,0
31192752,3
36582696,3
34015615,4
39018998,6
34048210,8
2900362,7
1999412,4
1080920,0
2863406,4
18439316,3
20887555,1
15398865,5
15169015,1
28814603,2
35630020,6
29545547,0
11380380,0
23640624,6
39491918,1
28015865,0
34427715,3
28256804,0
5068100,8
36802811,6
36661682,5
30610885,3
39987071,3
37956517,1
35795089,6
16746685,4
26954694,0
30668106,1
36164170,6
28277137,3
14888843,0
32872828,3
6681243,6
4735732,7
32852208,4
28513480,3
17944235,7
29096898,2
35351203,2
20638999,6
24764431,1
37200386,7
10773010,3
20012919,4
37646631,8
38013618,2
10044903,1
9283606,5
33384112,3
27038061,6
2102294,4
37231619,6
4717751,4
29061751,5
19002235,2
36655901,2
12888655,4
3746672,5
25317270,1
31108850,6
19256155,4
35324657,8
35778136,5
5551286,3
38073332,7
2102216,3
19236833,7
4560554,3
15761528,4
29690535,4
37901186,3
9484232,1
34117072,7
4919681,2
1489041,0
23641871,0
35032792,2
35261895,5
11216894,6
38895856,2
19804129,8
24811286,0
39901860,8
31924543,8
39663469,4
37045399,6
20710532,6
11251257,8
32350505,3
15374291,8
28267870,6
19728908,3
22466821,8
31984914,6
39086029,3
21586655,4
38622500,5
11715227,6
32577351,6
8957429,8
17309453,7
21527770,3
20365878,2
18240549,0
36286333,8
34674558,3
25927578,0
22041231,1
38269658,1
31385175,6
39964995,3
8820451,1
10526847,0
4695337,3
5474624,8
33944914,3
33795241,8
12391092,8
27291870,2
22796024,7
34367353,0
60680,1
31917430,8
24330068,0
13077939,4
38509208,6
33060192,3
9917334,7
5097005,1
25705707,4
29171937,2
10554276,0
20329927,3
37355662,6
32217242,3
30751547,5
30838820,4
39406836,1
1071277,0
39003251,2
30107606,7
2345331,6
8223137,8
4922926,8
13900946,7
11124121,8
2553672,0
21731133,6
37266221,6
28640971,5
5824859,6
11726866,3
9041958,5
15724672,6
29687761,8
34197936,3
5452931,6
10095299,7
37837311,6
3068839,1
39313273,6
15409132,4
25277433,5
18135547,7
38385558,6
21478132,3
16451509,6
34059399,6
30634243,8
35087630,7
14283086,8
2405936,8
21147095,8
10121485,0
17596250,4
35661474,2
38686206,4
15555968,7
4010507,0
23451359,1
3463698,0
9118322,1
27518446,7
37783991,4
11005233,8
1423214,8
37681840,1
24727929,4
2397324,0
21188579,7
32554641,6
31236247,6
7258245,1
39121709,2
30897250,5
37773037,2
1049320,0
13504424,7
29847535,1
24621792,2
1042451,1
28948385,0
36265049,7
24947418,4
31264735,6
20037426,0
15272637,6
40024017,0
39174657,0
35919242,0
19550326,7
33476755,4
38788066,4
28354550,7
25619945,1
35570319,8
23894138,0
4877924,2
28630249,7
29928457,5
38648328,4
18438934,7
38790368,2
33807424,4
12448426,4
23834765,3
24801534,0
10942236,1
26853262,4
22811382,2
5409308,1
23808918,2
15635972,1
36409596,3
24428091,3
29406767,2
352079,0
14469685,1
34789938,7
30759381,0
24370721,8
37677496,3
12062715,2
27302424,1
13658930,6
33928553,8
11606091,4
24099620,3
30595908,5
16491594,7
8288133,1
35360816,0
8695422,3
23047450,7
39400957,2
34554347,5
18858676,4
9428419,7
1098118,7
7279355,8
25299624,5
28679154,1
12326117,8
20302196,8
18844894,1
16821674,1
34367078,4
4924273,4
28125565,3
12108913,0
1824735,5
23144164,0
36527407,7
32802334,7
18881741,3
7834907,4
26745536,1
27042627,6
17978073,7
32213251,2
7276232,8
34063514,0
15841024,8
39652954,0
5407647,0
25917528,4
23640588,4
19216630,7
2733660,4
5127991,3
39837732,7
7660231,0
22043658,7
18905392,8
32580489,7
37768058,3
39323817,6
32394655,5
34550005,7
8027065,6
6889640,1
33135942,0
3265232,8
3448505,4
38309025,1
23529312,8
20112500,5
18653004,8
24809425,5
19315030,6
21047524,7
27662072,4
36870792,3
14225513,1
28206600,4
20741435,4
32974691,7
37716326,4
13531247,8
31192256,2
32239228,0
33027687,4
21542753,8
5866475,1
16976405,5
34011154,4
28622414,4
37413144,1
33245685,5
863234,8
23221747,6
20037687,1
33371664,0
18695990,6
39131755,2
10068419,4
34344025,3
39372150,6
35282826,4
25435656,6
24366775,2
16728695,2
34481205,7
28066146,2
6134933,8
25839070,0
11056821,6
17875037,2
21703142,2
6978331,8
37191442,5
2378110,5
34788422,1
35407514,6
11832824,4
26989736,4
38860185,6
15110685,7
27100278,2
37471934,0
35101847,7
29839397,7
30064894,3
30681997,3
791098,8
17437025,3
27558559,2
34543830,6
10446440,6
9567326,4
26598064,4
19889821,6
32879491,8
