question_id,cluster
28086865,7
39663117,3
37259168,6
22412231,8
25090735,5
25279059,1
22719224,5
7549662,7
28233633,5
40091963,9
1366274,1
1751959,1
11596423,5
23042962,7
4638806,2
4585692,0
39397720,1
35880247,1
32969757,5
2323080,4
32535816,2
20383151,0
3610071,8
13596408,1
39970303,8
38164587,6
19094441,3
26077231,6
39066567,3
27462337,3
22865573,8
22739592,2
23785155,0
39231607,4
39518350,1
25571861,2
31614866,9
15745418,4
15900883,4
32023183,2
39549494,1
38895185,5
35792905,1
17717282,8
11040626,9
36747114,5
3695202,3
29552575,3
21058514,7
33769143,6
6239042,4
13144158,1
34278866,6
26080958,1
5834054,7
25705544,7
27542341,9
38316294,2
20110006,3
33127008,6
18596189,8
2483840,0
20803932,8
4848965,3
27056575,6
8701419,2
4690155,0
26673267,5
32463870,8
36908926,7
19472499,5
38780122,1
37015876,0
12030085,0
29859761,8
33753832,0
4676973,2
39111903,3
27177212,4
22108306,9
38792077,5
32589767,2
3402694,4
35942081,0
26753268,9
26487648,1
19338748,0
19111047,1
13980656,9
30849351,9
33655933,5
13163895,4
13356680,6
16991754,4
18380766,5
5522524,6
39521924,5
36795424,3
19665125,7
33792478,1
4054254,0
25109001,3
2631311,3
843277,8
38879470,7
32906669,1
23873048,7
31350589,6
37730751,9
11816236,4
11376381,3
36053881,4
13336798,8
20298058,4
3068408,5
21465348,9
37066402,5
34394344,4
36447378,1
5075335,1
36507334,4
25709818,3
35046142,7
38591938,9
37390827,1
32683412,3
34880137,9
27434689,8
34708972,4
7765113,5
37864425,6
6107905,1
39978375,7
4968210,5
25462305,9
35641116,8
36816386,6
34683400,9
36820171,5
26005274,7
38477881,8
10639333,9
25387745,2
40113343,7
29080279,1
26615756,4
6655724,8
38876562,1
33592626,1
29144956,6
23970227,0
5531249,6
35224978,2
6650906,8
24037441,6
12311196,0
1056675,1
24020720,9
14319771,4
5289680,5
19919987,6
22127346,5
22983523,3
10587826,5
29581718,3
21897420,1
24419845,0
28624489,5
1693945,7
17124199,4
21397455,8
16494824,5
21436163,4
18896682,0
17621531,2
36534795,2
34381588,9
31538738,4
36813851,8
17173743,9
17327389,3
39341571,7
18968660,9
12485148,8
32705146,7
9584565,6
39331369,5
16059073,6
31253866,1
24743446,1
2465675,5
4713589,1
19216046,2
13369009,3
37541248,1
36518512,5
29408529,4
23617898,1
40006924,2
39394936,5
34352419,9
22731782,9
19484161,5
18352815,6
4255854,4
4717238,0
38704586,1
33572928,6
35846053,7
38343972,3
39396222,5
3842927,3
15966537,3
23154821,9
23580176,1
3489451,6
34052977,9
8358781,4
5566160,7
9952655,6
5258402,1
35822563,5
11601629,6
7184454,6
23779995,5
18767257,1
10292057,1
9193773,1
15194061,9
33452601,7
13664861,7
29922373,8
28410763,5
35006204,9
11017984,3
10459673,7
36854690,6
20129259,8
21434728,3
18667053,8
39448604,4
9852226,8
34452680,5
18821795,1
10903748,9
25375057,4
32723802,3
16044668,5
26770121,1
15661231,6
21403044,3
18946286,1
35625488,1
36301179,0
23963369,3
21047921,9
28677597,7
16597396,4
19430190,7
28085788,3
16664360,5
8973238,8
38343213,5
16329869,3
14621310,8
27524817,6
29029077,4
8573464,4
28930706,5
18486244,9
28384690,0
3905548,1
18689026,9
36689898,5
5513615,6
14902299,4
38579256,7
6871686,3
10424987,6
33492593,3
27440989,8
2193009,5
31419145,1
30025502,7
15265319,5
38289432,7
36697521,6
38038700,9
35440222,0
31400143,9
9014056,9
27118886,1
40027392,0
32078763,6
25064271,5
19833315,2
17202946,2
1258199,6
21705101,8
29832659,3
16816379,6
20202639,4
822195,6
37467812,3
39847007,4
11268039,4
29621334,3
17459700,4
3165213,7
31473998,0
22301531,7
22787091,3
25903242,9
30699806,3
34071495,2
39128412,8
37749111,5
14734492,6
13167852,6
39721813,5
30444863,5
28228720,6
30016119,3
20109487,2
35461213,9
17528842,9
34133667,3
13446989,1
16435697,3
12612229,6
17412087,1
35505498,1
34422238,9
27810898,4
17229045,4
22254151,6
25319851,9
20966102,6
38117824,7
17384485,4
8320106,6
39151443,3
992136,0
26984555,5
24422724,4
19693782,2
12139428,5
24286544,6
14863576,9
26214245,8
25379098,8
9526873,4
7385374,4
928806,8
3861148,2
39533524,0
31946790,8
32689758,3
22946117,5
15555589,5
3134850,5
10831075,0
20629113,3
28917968,4
28999332,1
21739518,8
18241359,7
13010551,6
11651188,6
9100431,4
34657480,0
15898829,5
13729394,4
6603448,9
4293408,9
28862412,9
35590796,2
21735827,6
23111625,6
13093806,8
33426634,2
30032701,9
15622082,1
17819311,3
7381998,2
36169342,4
22120887,7
11850762,5
25726289,3
13792798,3
31657423,7
19655688,6
23409982,6
23704826,3
8535913,6
24540431,3
23021976,6
7199405,4
36447597,9
22386064,3
32660596,1
34662357,9
37166891,9
22411463,3
8953035,7
1905396,6
27208757,2
9645924,1
39509080,3
11366294,5
36385992,4
7969552,7
29418117,1
9486345,8
10773372,0
13936169,7
33680750,9
29471617,3
33971496,5
35585362,2
32177449,4
11388632,0
1111173,5
30036443,9
17320133,6
12853628,4
23159019,8
1956249,5
35722096,4
18799033,1
6438260,1
19782309,7
13018266,5
34336273,9
12851374,0
15821830,9
17060930,7
28267756,7
38778676,1
32358269,6
21886526,6
14413661,2
4113014,4
26897759,8
38618888,6
3442920,4
23800972,4
31063601,8
28705834,3
27607638,9
6931039,9
35761561,7
28288395,1
32874900,7
38071436,3
27219759,9
21158731,2
26361113,4
27034416,7
22253695,5
11622692,3
16837642,4
3894923,6
17438943,4
37732552,1
23809636,5
39143465,4
10866990,5
17197406,4
2470121,8
34005479,3
32079691,7
28477877,8
10497342,5
22534552,1
14922533,7
35593961,0
32141623,0
35583510,2
12170262,6
28022998,9
25775965,4
22891586,2
7973002,1
11798323,4
35330733,0
14429724,6
18598238,3
14195544,5
17005775,2
33325603,7
16787725,6
38960196,8
39829846,7
26278348,1
6203653,0
37865763,6
36491375,7
23833324,0
30585679,3
34462682,6
18456841,5
7070693,1
16387597,7
23295868,5
21045437,0
32334346,7
12810499,3
24109713,6
23891486,4
36362175,3
29701951,1
5315873,7
40140412,4
22436864,0
14236633,6
38881888,8
38807067,1
22848533,4
23711762,5
5164307,5
3898572,8
4360636,0
31402734,3
23872285,6
1431936,1
39407747,1
27883769,8
4888440,4
37022787,3
24624809,1
19610240,5
19617959,1
34714863,5
818942,2
29244434,5
33333980,8
1229414,6
23506306,7
22603750,1
38723055,4
39836449,6
34411047,1
33979709,7
34525893,8
12328678,1
31111493,1
38367206,6
22665833,4
8779497,4
28722677,6
38384829,1
13824973,9
9770133,0
29566846,2
14579231,0
33658216,6
22561495,9
5918633,1
34383951,8
27575354,7
11228153,4
3407414,9
16813088,7
2038247,8
33713149,9
5445462,7
31872863,8
3486372,0
17492923,6
24058127,4
22787826,4
24404729,2
7768633,7
8930370,3
34584484,6
17370820,9
28658918,2
25285665,5
14588682,0
23205147,9
11897028,1
28078327,3
26698401,7
33720318,1
553019,6
40121221,0
31960214,2
24981505,9
24607358,0
37302934,5
23839662,7
29901471,6
24834926,8
24087593,7
36258215,9
28119877,8
3730616,1
32991977,2
2828962,0
32040304,3
26805232,5
24056286,6
21039589,8
15807611,2
9870182,4
21922382,7
16500443,4
22156574,4
7829007,6
33751388,6
7629288,4
22133696,4
32121236,9
2828059,9
2041978,0
22251169,5
15258017,0
26187054,6
14258702,4
31949339,6
38679516,6
27194710,3
29847082,9
27959962,1
25914854,0
19261392,3
25490432,2
21640880,0
25455067,7
27790357,3
8449454,6
19169352,1
29743523,3
33657182,9
4295799,0
39084519,3
25720742,0
35540265,5
15947517,2
10475448,0
22878113,3
16022579,5
35984404,6
26876438,8
10018679,9
34257693,1
31795092,9
9445835,6
19527097,0
14658945,3
762764,5
24591917,7
38237598,3
1842389,5
23618728,1
29545601,2
31307014,3
38447314,6
14621224,6
2415842,5
20502312,0
21113773,8
31487381,7
16700779,7
14533936,7
32485542,1
32813162,2
30834395,4
33405490,5
28882496,8
7556499,3
32740320,1
11481618,9
24376574,3
38219558,7
28520450,0
36131003,4
8299270,8
23234436,8
37830512,3
5403138,4
37662869,0
3586295,4
35258750,9
33713501,0
24057239,1
18478240,3
35696980,5
16022245,9
2524998,8
35332978,2
16981303,6
34662173,3
37471079,1
6162823,9
36163949,4
15378537,6
38708729,1
16110968,5
27772934,5
21784116,1
11824137,5
22899536,7
34322896,2
20444155,6
15541418,3
39776675,4
37019240,3
12559778,1
12658224,4
30380551,8
39214277,8
29973598,0
26642433,7
36152287,7
4098197,7
36894878,0
11059203,2
39792641,4
1364583,3
6912867,4
12289861,5
2743070,6
19715854,3
26352833,7
15638468,2
18117748,7
18324753,5
26762053,5
18915481,3
21285022,4
1720743,1
37579590,3
6322158,1
36091759,8
36764709,8
8590813,4
8904271,9
13209539,8
32877873,7
1325568,0
35287254,8
34957004,6
34064104,6
38808452,4
14006028,5
26683509,7
34755256,0
20136274,1
13111025,9
18838328,0
27284196,4
27990497,3
18581174,0
33929929,2
37289559,1
18883222,3
19441031,8
30293680,8
29300175,1
550804,4
19228711,4
38361224,6
4476354,4
19961071,7
39408038,9
25663653,1
23378498,5
33442872,5
5772148,7
29641616,2
17039151,9
32239077,2
17088224,5
10011302,7
34576409,8
8934530,8
5234944,4
19545979,9
15881439,0
30746167,6
25429219,4
27827503,4
16820635,8
8674426,9
20602488,7
35825289,5
36034926,1
28594000,1
31577926,5
33303952,1
21366021,0
25028105,4
27973941,4
30492313,3
6335906,4
14779216,4
10599347,6
19915264,0
20341650,0
22244837,7
36612981,8
29997186,9
4782028,9
36068943,6
34856717,6
7389109,7
29591313,9
10860774,8
25543741,8
35997393,6
35871625,3
32731554,2
32821143,9
16705670,6
28128514,1
17887503,8
35692719,6
21282039,0
38528332,5
36725130,9
35998123,4
4065085,8
14355642,3
33067867,3
26741204,6
8158536,1
39580929,4
26711396,3
26936345,6
26295092,1
14924795,4
23355661,6
17398040,1
35423366,3
8764895,0
20600527,2
14609467,4
34574351,6
21309172,1
21713148,1
28522671,7
13440956,2
34216141,6
29363697,6
31806428,1
35407893,5
21370722,8
36923265,0
37242036,8
35628640,9
11387439,8
11580789,4
9937781,6
36425234,9
23103370,3
13703295,8
29796140,8
13711187,8
31468597,9
26949091,7
18064914,2
32033557,9
38877102,3
17220997,4
37661073,6
11280464,0
34315152,1
11298909,3
29489717,1
14898089,4
26321618,6
39029632,3
22557758,0
6165819,2
5891359,0
30264461,1
23420021,4
5812318,9
902039,5
14532634,3
21392956,6
21699022,2
20262687,9
14184623,8
10110295,7
39366291,6
18245975,3
22876655,9
25856475,8
21175922,7
8063012,5
36738309,8
31388828,0
39626338,1
30405420,6
30067180,4
9914393,1
15442717,5
1181233,4
29775539,6
6649990,6
29794853,9
14850960,9
33665542,2
26527493,4
28759361,8
36386761,1
144218,3
33335937,0
12894154,5
18131839,3
2591580,4
35356198,3
26106833,8
22331396,4
29590189,8
38906797,4
23935029,1
26822873,1
31348238,5
1554673,1
17252024,3
32325075,1
10368153,6
37432161,6
30636248,9
21153407,0
39355483,4
22135108,7
22179718,6
1672113,7
32705280,5
23210644,3
14199168,9
29972991,8
31878409,0
26166248,4
19604825,7
19544545,9
26441236,8
21528899,7
18692818,2
25407738,4
31644677,8
27651993,5
12182744,8
33914593,1
30754926,6
18428457,8
36210157,9
34706485,9
36163147,5
28951256,4
18472826,5
10818445,0
13143218,0
26887558,0
20456759,0
30354380,4
33314704,7
4106332,8
39450903,3
37659066,4
18615022,5
36014646,4
19376994,4
27000754,7
37454726,5
13754880,7
34005062,5
39976348,9
9515559,4
26188763,2
39050676,9
19132927,3
23531110,0
24785657,5
18502197,9
32868911,5
22263679,7
5415199,5
19414060,8
2680619,3
22816409,9
27981595,5
31436023,3
31605888,4
38903443,8
26440574,8
13179917,4
27715429,0
31911465,5
36789493,7
21367320,1
26002936,0
28082017,0
29467807,4
7680343,0
12945387,0
30270899,0
27999685,0
22488693,5
35685146,7
30331943,2
37232804,1
19012948,4
22716035,9
11959434,0
37644773,7
31655788,2
18166360,9
4698755,3
38164191,7
28599012,9
31693683,1
11462235,6
28634422,7
19791208,4
36967011,6
13703724,5
14633290,5
23055860,0
21848033,1
30202445,1
37058194,5
29836948,6
12868559,2
23199042,6
33804118,2
14398868,3
37530500,5
28975467,5
18312886,1
35228991,6
14828945,3
4163740,2
33597066,6
37310695,1
21649113,1
29597831,9
34818228,9
36289259,7
35922675,1
32855029,6
19670697,4
8979031,2
1151207,1
38358521,1
24062013,2
21310797,4
40063530,4
7074051,9
31353423,4
30998543,1
36607953,2
33984132,5
5972506,3
11636162,7
35135979,4
16575250,7
21189294,9
27851087,3
31501806,8
26941785,4
19295832,6
4922623,5
22752467,4
26328818,1
17858553,5
38876429,3
29070176,5
23343709,9
26224484,0
9270931,9
33335291,9
32894378,9
27885855,4
22869719,6
22522330,4
28614911,0
34936193,9
34447789,9
32422279,3
34897280,5
32838397,7
10455538,8
32170913,4
23759873,8
7274521,7
7881110,7
27789298,1
30289289,6
21542301,7
5903501,7
25469869,1
22699808,8
3651339,1
32427207,0
36504073,3
28178477,5
37550934,9
36066054,7
4513937,1
37493102,5
23716734,4
29965571,1
16883360,8
23006023,1
25839183,1
28646271,4
24509307,1
9375878,3
20098319,4
34525277,5
31231115,7
39346549,2
4131546,4
28521142,1
27434153,0
20391489,4
35550913,8
25492346,7
20441762,5
31449291,3
26923433,5
27000546,6
32376579,1
27289344,5
29704164,8
21607965,7
39297328,5
34687818,8
20462833,7
39843230,8
16500798,4
12065019,7
35179953,3
32231896,3
4785918,4
32975638,4
29222034,1
23311483,5
19121894,7
34601505,3
12880324,7
35353771,8
18157259,8
26921854,7
6854662,1
37913101,5
40038519,1
16121686,2
37111118,5
27195594,1
37521814,0
6895205,0
27414913,3
6849582,6
37685459,1
5046845,8
31268914,6
21512572,6
21721545,5
17571349,7
22676327,0
22488553,3
1490429,4
27391292,2
19646627,6
16678500,1
35944841,3
23140799,1
31088263,6
29785941,7
28399233,4
26246233,0
9174234,6
6466628,5
30703988,0
27237072,8
23160476,2
23522539,0
34180827,7
27915151,9
39314024,0
38988705,1
900420,9
27587108,1
38685620,1
37560990,0
27957831,0
36892829,0
6713463,8
5180521,2
35374933,1
23288447,8
4226824,6
3247183,6
32905668,1
9312082,7
20018092,4
35141092,0
39370510,5
31192752,9
36582696,3
34015615,7
39018998,1
34048210,8
2900362,9
1999412,6
1080920,4
2863406,4
18439316,3
20887555,0
15398865,2
15169015,0
28814603,6
35630020,1
29545547,5
11380380,5
23640624,1
39491918,0
28015865,4
34427715,3
28256804,5
5068100,8
36802811,1
36661682,2
30610885,9
39987071,3
37956517,0
35795089,1
16746685,6
26954694,5
30668106,4
36164170,1
28277137,3
14888843,5
32872828,2
6681243,1
4735732,6
32852208,6
28513480,3
17944235,9
29096898,9
35351203,6
20638999,1
24764431,0
37200386,9
10773010,2
20012919,7
37646631,9
38013618,9
10044903,0
9283606,2
33384112,3
27038061,0
2102294,4
37231619,1
4717751,4
29061751,2
19002235,3
36655901,6
12888655,4
3746672,1
25317270,0
31108850,1
19256155,4
35324657,8
35778136,2
5551286,3
38073332,7
2102216,0
19236833,6
4560554,3
15761528,3
29690535,6
37901186,3
9484232,0
34117072,7
4919681,6
1489041,5
23641871,5
35032792,6
35261895,2
11216894,1
38895856,9
19804129,8
24811286,5
39901860,8
31924543,8
39663469,4
37045399,1
20710532,1
11251257,8
32350505,3
15374291,8
28267870,1
19728908,9
22466821,8
31984914,1
39086029,3
21586655,6
38622500,2
11715227,1
32577351,1
8957429,7
17309453,6
21527770,3
20365878,9
18240549,5
36286333,7
34674558,3
25927578,5
22041231,4
38269658,0
31385175,1
39964995,3
8820451,0
10526847,5
4695337,3
5474624,7
33944914,3
33795241,8
12391092,8
27291870,9
22796024,9
34367353,5
60680,0
31917430,8
24330068,5
13077939,6
38509208,4
33060192,3
9917334,6
5097005,0
25705707,6
29171937,6
10554276,5
20329927,9
37355662,1
32217242,3
30751547,2
30838820,7
39406836,4
1071277,5
39003251,6
30107606,7
2345331,1
8223137,7
4922926,8
13900946,9
11124121,8
2553672,4
21731133,1
37266221,1
28640971,2
5824859,1
11726866,7
9041958,2
15724672,1
29687761,8
34197936,3
5452931,1
10095299,7
37837311,1
3068839,0
39313273,1
15409132,4
25277433,2
18135547,7
38385558,1
21478132,3
16451509,1
34059399,3
30634243,8
35087630,7
14283086,8
2405936,8
21147095,8
10121485,5
17596250,4
35661474,3
38686206,4
15555968,9
4010507,5
23451359,0
3463698,5
9118322,0
27518446,7
37783991,4
11005233,8
1423214,8
37681840,0
24727929,4
2397324,9
21188579,9
32554641,1
31236247,1
7258245,0
39121709,5
30897250,7
37773037,5
1049320,5
13504424,7
29847535,2
24621792,6
1042451,4
28948385,5
36265049,7
24947418,4
31264735,0
20037426,4
15272637,1
40024017,8
39174657,5
35919242,5
19550326,9
33476755,6
38788066,4
28354550,7
25619945,0
35570319,8
23894138,5
4877924,6
28630249,7
29928457,2
38648328,4
18438934,7
38790368,6
33807424,4
12448426,4
23834765,9
24801534,5
10942236,0
26853262,4
22811382,6
5409308,0
23808918,0
15635972,4
36409596,3
24428091,3
29406767,6
352079,4
14469685,0
34789938,7
30759381,5
24370721,8
37677496,3
12062715,6
27302424,0
13658930,1
33928553,8
11606091,4
24099620,3
30595908,2
16491594,6
8288133,4
35360816,5
8695422,9
23047450,7
39400957,9
34554347,2
18858676,1
9428419,7
1098118,6
7279355,8
25299624,2
28679154,0
12326117,7
20302196,7
18844894,4
16821674,0
34367078,4
4924273,4
28125565,9
12108913,5
1824735,2
23144164,4
36527407,6
32802334,9
18881741,3
7834907,6
26745536,0
27042627,1
17978073,7
32213251,6
7276232,8
34063514,5
15841024,8
39652954,5
5407647,5
25917528,6
23640588,7
19216630,7
2733660,4
5127991,9
39837732,7
7660231,5
22043658,7
18905392,8
32580489,7
37768058,3
39323817,1
32394655,2
34550005,7
8027065,1
6889640,4
33135942,4
3265232,8
3448505,6
38309025,0
23529312,8
20112500,2
18653004,8
24809425,0
19315030,1
21047524,9
27662072,7
36870792,3
14225513,4
28206600,6
20741435,6
32974691,7
37716326,6
13531247,7
31192256,3
32239228,5
33027687,4
21542753,8
5866475,4
16976405,2
34011154,6
28622414,4
37413144,0
33245685,7
863234,8
23221747,1
20037687,0
33371664,5
18695990,1
39131755,6
10068419,4
34344025,8
39372150,1
35282826,4
25435656,1
24366775,6
16728695,6
34481205,9
28066146,6
6134933,8
25839070,5
11056821,7
17875037,6
21703142,6
6978331,8
37191442,2
2378110,2
34788422,0
35407514,1
11832824,4
26989736,6
38860185,1
15110685,9
27100278,6
37471934,5
35101847,6
29839397,9
30064894,3
30681997,3
791098,8
17437025,6
27558559,6
34543830,1
10446440,1
9567326,1
26598064,8
19889821,1
32879491,8
